LAC,CI,LAC-CI,latitude,longtitude
10013,56022,10013-56022,23.2193,113.21029
10013,56902,10013-56902,23.22807,113.18666
10013,58756,10013-58756,23.21031,113.23085
10013,58757,10013-58757,23.21031,113.23085
10013,58758,10013-58758,23.21031,113.23085
10013,58759,10013-58759,23.21031,113.23085
10013,59027,10013-59027,23.21501,113.22502
10013,62103,10013-62103,23.20708,113.21429
10013,65400,10013-65400,23.20634,113.20305
10013,65401,10013-65401,23.20634,113.20305
10013,65402,10013-65402,23.20634,113.20305
10013,65403,10013-65403,23.20634,113.20305
10013,65404,10013-65404,23.20708,113.21429
10013,65405,10013-65405,23.20708,113.21429
10013,65406,10013-65406,23.20634,113.20305
10013,65408,10013-65408,23.23178,113.21205
42261,11852,42261-11852,23.4025,113.208
10013,65411,10013-65411,23.23417,113.19252
10013,65412,10013-65412,23.22807,113.18666
10013,65413,10013-65413,23.22807,113.18666
10013,65416,10013-65416,23.23677,113.18579
10013,65417,10013-65417,23.22807,113.18666
10013,65475,10013-65475,23.2216,113.20188
10013,65523,10013-65523,23.22075,113.17748
10013,65524,10013-65524,23.23178,113.21205
10013,65526,10013-65526,23.2216,113.20188
10013,65527,10013-65527,23.24044,113.20426
10013,65528,10013-65528,23.23417,113.19252
10013,65529,10013-65529,23.23417,113.19252
10014,11444,10014-11444,23.14309,113.24164
10014,11445,10014-11445,23.14309,113.24164
10014,11446,10014-11446,23.14309,113.24164
10014,11869,10014-11869,23.14409,113.23411
10014,15637,10014-15637,23.1466,113.23428
10014,15638,10014-15638,23.1466,113.23428
10014,15639,10014-15639,23.1466,113.23428
10014,16341,10014-16341,23.14212,113.24145
10014,16601,10014-16601,23.14204,113.24162
10014,16924,10014-16924,23.137588,113.224808
10014,16931,10014-16931,23.1349,113.2253
10014,16932,10014-16932,23.1349,113.2253
10014,16933,10014-16933,23.1349,113.2253
10014,16934,10014-16934,23.1349,113.2253
10014,16935,10014-16935,23.1349,113.2253
10014,16936,10014-16936,23.1349,113.2253
10014,16937,10014-16937,23.137155,113.237495
10014,16938,10014-16938,23.137155,113.237495
10014,16939,10014-16939,23.137155,113.237495
10014,16941,10014-16941,23.137155,113.237495
10014,16942,10014-16942,23.137155,113.237495
10014,16943,10014-16943,23.137155,113.237495
10014,16944,10014-16944,23.140119,113.231296
10014,16945,10014-16945,23.140119,113.231296
10014,16946,10014-16946,23.140119,113.231296
10014,16947,10014-16947,23.140119,113.231296
10014,16948,10014-16948,23.140119,113.231296
10014,16949,10014-16949,23.140119,113.231296
10014,16950,10014-16950,23.140119,113.231296
10014,16957,10014-16957,23.13525,113.229917
10014,16958,10014-16958,23.13525,113.229917
10014,16959,10014-16959,23.13525,113.229917
10014,16961,10014-16961,23.13525,113.229917
10014,16962,10014-16962,23.13525,113.229917
10014,16963,10014-16963,23.13525,113.229917
10014,16971,10014-16971,23.14275,113.24979
10014,16972,10014-16972,23.14275,113.24979
10014,16981,10014-16981,23.14278,113.24917
10014,16984,10014-16984,23.144087,113.234108
10014,16987,10014-16987,23.14389,113.23639
10014,16991,10014-16991,23.14102,113.2407
10014,16997,10014-16997,23.14617,113.23923
10014,16998,10014-16998,23.14617,113.23923
10014,16999,10014-16999,23.14617,113.23923
10014,17001,10014-17001,23.14617,113.23923
10014,17002,10014-17002,23.14617,113.23923
10014,17003,10014-17003,23.14617,113.23923
10014,17004,10014-17004,23.14131,113.24463
10014,17005,10014-17005,23.14131,113.24463
10014,17006,10014-17006,23.14131,113.24463
10014,17007,10014-17007,23.14131,113.24463
10014,17008,10014-17008,23.14131,113.24463
10014,17009,10014-17009,23.14131,113.24463
10014,17011,10014-17011,23.14604,113.23734
10014,18217,10014-18217,23.14403,113.23838
10014,18218,10014-18218,23.14403,113.23838
10014,18219,10014-18219,23.14403,113.23838
10014,18221,10014-18221,23.14403,113.23838
10014,18222,10014-18222,23.14403,113.23838
10014,18223,10014-18223,23.14403,113.23838
